"Name","Party"
"Aaron Violi","Liberal"
"Adam Bandt","Greens"
"Alan Cadman","Liberal"
"Alan Griffin","Labor"
"Alan Tudge","Liberal"
"Alannah Mactiernan","Labor"
"Alby Schultz","Liberal"
"Alex Hawke","Liberal"
"Alex Somlyay","Liberal"
"Alexander Downer","Liberal"
"Alicia Payne","Labor"
"Alison Byrnes","Labor"
"Allegra Spender","Ind"
"Amanda Rishworth","Labor"
"Andrew Broad","National"
"Andrew Charlton","Labor"
"Andrew Gee","Ind"
"Andrew Giles","Labor"
"Andrew Hastie","Liberal"
"Andrew Laming","Liberal National"
"Andrew Leigh","Labor"
"Andrew Nikolic","Liberal"
"Andrew Robb","Liberal"
"Andrew Southcott","Liberal"
"Andrew Wallace","Liberal National"
"Andrew Wilkie","Ind"
"Andrew Willcox","Liberal National"
"Angie Bell","Liberal National"
"Angus Taylor","Liberal"
"Anika Wells","Labor"
"Ann Corcoran","Labor"
"Ann Sudmalis","Liberal"
"Anna Burke","Labor"
"Anne Aly","Labor"
"Anne Stanley","Labor"
"Anne Webster","National"
"Annette Ellis","Labor"
"Anthony Albanese","Labor"
"Anthony Byrne","Labor"
"Arch Bevis","Labor"
"Barnaby Joyce","National"
"Barry Haase","Liberal"
"Barry Wakelin","Liberal"
"Belinda Neal","Labor"
"Ben Morton","Liberal"
"Bernie Ripoll","Labor"
"Bert Van Manen","Liberal"
"Bill Shorten","Labor"
"Bob Baldwin","Liberal"
"Bob Debus","Labor"
"Bob Katter","Katter's Australian"
"Bob McMullan","Labor"
"Bob Sercombe","Labor"
"Brendan Nelson","Liberal"
"Brendan O'Connor","Labor"
"Brett Raguse","Labor"
"Brett Whiteley","Liberal"
"Brian Mitchell","Labor"
"Bridget Archer","Liberal"
"Bronwyn Bishop","Liberal"
"Bruce Baird","Liberal"
"Bruce Billson","Liberal"
"Bruce Scott","National"
"Cameron Caldwell","Liberal National"
"Cameron Thompson","Liberal"
"Carina Garland","Labor"
"Carmen Lawrence","Labor"
"Cassandra Fernando","Labor"
"Catherine King","Labor"
"Cathy McGowan","Independent"
"Cathy O'Toole","Labor"
"Celia Hammond","National"
"Chris Bowen","Labor"
"Chris Crewther","Liberal"
"Chris Hayes","Democratic"
"Chris Pearce","Liberal"
"Chris Trevor","Labor"
"Christian Porter","Liberal"
"Christopher Pyne","Liberal"
"Clare O'Neil","Labor"
"Clive Palmer","Liberal National"
"Colin Boyce","Liberal National"
"Craig Emerson","Labor"
"Craig Kelly","Independent"
"Craig Laundy","Liberal"
"Craig Thomson","Labor"
"Dai Le","Ind"
"Damian Drum","National"
"Damian Hale","Labor"
"Dan Repacholi","Labor"
"Dan Tehan","Liberal"
"Daniel Mulino","Labor"
"Danna Vale","Liberal"
"Darren Cheeseman","Labor"
"Darren Chester","National"
"Daryl Melham","Labor"
"Dave Sharma","Liberal"
"Dave Tollner","Liberal"
"David Bradbury","Labor"
"David Coleman","Liberal"
"David Fawcett","Liberal"
"David Feeney","Labor"
"David Gillespie","National"
"David Hawker","Liberal"
"David Jull","Liberal"
"David Littleproud","National"
"David Smith","Labor"
"De-Anne Kelly","National"
"Deborah O'Neill","Labor"
"Dennis Jensen","Liberal"
"Dick Adams","Labor"
"Don Randall","Liberal"
"Duncan Kerr","Labor"
"Ed Husic","Labor"
"Elizabeth Watson-Brown","Greens"
"Emma Husar","Labor"
"Emma McBride","Labor"
"Eric Hutchinson","Liberal"
"Ewen Jones","Liberal National"
"Fiona Martin","Liberal"
"Fiona Phillips","Labor"
"Fiona Scott","Liberal"
"Fran Bailey","Liberal"
"Gai Brodtmann","Labor"
"Garth Hamilton","Liberal National"
"Gary Gray","Labor"
"Gary Hardgrave","Liberal"
"Gary Nairn","Liberal"
"Gavan O'Connor","Independent"
"Gavin Pearce","Liberal"
"Ged Kearney","Labor"
"Geoff Lyons","Labor"
"Geoff Prosser","Liberal"
"George Christensen","National"
"Gladys Liu","Liberal"
"Gordon Reid","Labor"
"Graham Edwards","Labor"
"Graham Perrett","Labor"
"Greg Combet","Labor"
"Greg Hunt","Liberal"
"Harry Jenkins","Labor"
"Harry Quick","Independent"
"Helen Haines","Ind"
"Henry Pike","Liberal National"
"Ian Goodenough","Liberal"
"Ian Macfarlane","Liberal National"
"Jackie Kelly","Independent"
"James Bidgood","Labor"
"James Stevens","Liberal"
"Jamie Briggs","Liberal"
