"Name","PartyFinal","PartyOpenParl","PartyWiki","PartyWikiClean","PartyfromText"
"Aaron Violi","Liberal","Liberal",NA,NA,"Liberal"
"Adam Bandt","Greens","Greens",NA,NA,"Greens"
"Alan Cadman","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Alan Griffin","Labor",NA,"Australian Labor Party","Labor","Labor"
"Alan Tudge","Liberal",NA,"Liberal","Liberal","Liberal"
"Alannah Mactiernan","Labor",NA,"Australian Labor Party","Labor","Labor"
"Alby Schultz","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Alex Hawke","Liberal","Liberal",NA,NA,"Liberal"
"Alex Somlyay","Liberal",NA,"Liberal","Liberal","Liberal"
"Alexander Downer","Liberal",NA,"Liberal","Liberal","Labor"
"Alicia Payne","Labor","Labor",NA,NA,"Labor"
"Alison Byrnes","Labor","Labor",NA,NA,"Labor"
"Allegra Spender","Ind","Ind",NA,NA,"Ind"
"Amanda Rishworth","Labor","Labor",NA,NA,"Labor"
"Andrew Broad","National",NA,"National","National","National"
"Andrew Charlton","Labor","Labor",NA,NA,"Labor"
"Andrew Gee","Ind","Ind",NA,NA,"Ind"
"Andrew Giles","Labor","Labor",NA,NA,"Labor"
"Andrew Hastie","Liberal","Liberal",NA,NA,"Liberal"
"Andrew Laming","Liberal National",NA,"Liberal National (until 2024)","Liberal National","Liberal"
"Andrew Leigh","Labor","Labor",NA,NA,"Labor"
"Andrew Nikolic","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Andrew Robb","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Andrew Southcott","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Andrew Wallace","Liberal National","Liberal National",NA,NA,"Liberal National"
"Andrew Wilkie","Ind","Ind",NA,NA,"Ind"
"Andrew Willcox","Liberal National","Liberal National",NA,NA,"Liberal National"
"Angie Bell","Liberal National","Liberal National",NA,NA,"Liberal National"
"Angus Taylor","Liberal","Liberal",NA,NA,"Liberal"
"Anika Wells","Labor","Labor",NA,NA,"Labor"
"Ann Corcoran","Labor",NA,"Labor","Labor","Labor"
"Ann Sudmalis","Liberal",NA,"Liberal Party of Australia[1]","Liberal","Liberal"
"Anna Burke","Labor",NA,"Labor Party","Labor","Labor"
"Anne Aly","Labor","Labor",NA,NA,"Labor"
"Anne Stanley","Labor","Labor",NA,NA,"Labor"
"Anne Webster","National","National",NA,NA,"National"
"Annette Ellis","Labor",NA,"Labor","Labor","Labor"
"Anthony Albanese","Labor","Labor",NA,NA,"Labor"
"Anthony Byrne","Labor",NA,"Australian Labor Party","Labor","Labor"
"Arch Bevis","Labor",NA,"Australian Labor Party","Labor","Labor"
"Barnaby Joyce","National","National",NA,NA,"Labor"
"Barry Haase","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Barry Wakelin","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Belinda Neal","Labor",NA,"Labor (until 2017, expelled)","Labor","Labor"
"Ben Morton","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Bernie Ripoll","Labor",NA,"Australian Labor Party","Labor","Labor"
"Bert Van Manen","Liberal","Liberal",NA,NA,"Liberal"
"Bill Shorten","Labor","Labor",NA,NA,"Labor"
"Bob Baldwin","Liberal",NA,"Liberal Party of Australia","Liberal","Labor"
"Bob Debus","Labor",NA,"Australian Labor Party","Labor","Labor"
"Bob Katter","Katter's Australian","Katter's Australian",NA,NA,"Katter's"
"Bob McMullan","Labor",NA,"Australian Labor Party","Labor","Labor"
"Bob Sercombe","Labor",NA,"Australian Labor Party","Labor","Labor"
"Brendan Nelson","Liberal",NA,"Liberal (after 1994)","Liberal","Labor"
"Brendan O'Connor","Labor","Labor",NA,NA,"Labor"
"Brett Raguse","Labor",NA,"Labor (until 2016)","Labor","Labor"
"Brett Whiteley","Liberal",NA,"Liberal Party","Liberal","Liberal"
"Brian Mitchell","Labor","Labor",NA,NA,"Labor"
"Bridget Archer","Liberal","Liberal",NA,NA,"Liberal"
